"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"32286-7","Вірусу Гепатиту С генотип","Наявність або Ідентифікація","МоментЧасу","Сироватка/Плазма","Категорійно","Зонд-детекція. цільова аміпліфікація НК","Мікробіологія","ВГС Генотип СирПл АНК+зонд","Вірусу Гепатиту С генотип [Ідентифікація] в Сироватці або Плазмі методом Ампліфікації НК та детекцією з використанням зонду","3 Self-Sustaining Sequence Replication; 3SR SR; Amplif; Amplification; Amplified; DNA NUCLEIC ACID PROBE; DNA probe; Gentyp; HCV; Hep; Hep C; Hepatis; Hepatit; Hepatology; ID; Identity or presence; Infectious Disease; InfectiousDisease; LAT; LCR; Ligase chain reaction; Ligation-activated transcription; Liver; Microbiology; NAA+probe; NAAT; NASBA; Nominal; Nucleic acid sequence based analysis; PCR; Pl; Plasma; Plsm; Point in time; Polymerase chain reaction; Probe amp; Probe with ampification; Probe with target amplification; QBR; Random; SDA; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Strand Displacement Amplification; TMA; Transcription mediated amplification; UniversalLabOrders","ВГС генотип Ампліфікація НК+зонд"
"32319-6","Глюкоза^30 хв після прийому 75 г глюкози перорально","Молярна Концентрація","МоментЧасу","Сироватка/Плазма","Кількісно","","Челендж-Тести","Глюкоза 30хв п 75г Гл ПО СирПл-МолКонц","Глюкоза [Молі/об'єм] в Сироватці або Плазмі --30 хвилин після прийому 75 г глюкози перорально","30M p 75 g Glc PO; 75Gm; After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; p 75 g Glc PO; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration","Глюкоза 30 хв після 75 г глюкози перорально [Молі/об'єм]"
"32356-8","Дріжджі","Наявність або Поріг","МоментЧасу","Осад Сечі","Порядково","Мікроскопія. світлова","Аналіз Сечі","Дріжджі СечОсд Якісн Мікро","Дріжджі [Наявність] в осаді Сечі методом Світлової Мікроскопії","ID; Infectious Disease; InfectiousDisease; Kidney; LM; Micro; Micros; Microscopic; Nephrology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Renal; Screen; UA; UR; URINALYSIS; Urine sediment; Urn; UrnS","Дріжджі СМ Якісно (осад Сечі)"
"32787-4","Нейтрофільні цитоплазматичні Антитіла.перинуклеарні","Титр","МоментЧасу","Сироватка","Кількісно","","Серологія","p-ANCA Титр Сиров","Цитоплазма нейтрофілів перинуклеарна, Антитіла [Титр] в сироватці","ACNA; ACPA; ANCA; Cytopl; Cytoplas; Dilution factor; Dilution Factor (Titer); Granulocyte ab; Granulocyte nucleus ab; Neut; Neutr; Neutrophils; NSNA; pANCA; p-ANCA; Perinuclear ANCA; PMN; PNM; Point in time; QNT; Quan; Quant; Quantitative; Random; Serology; Serum; SR; Titer; Titered; Titre; Ttr; Vasculitis","Цитоплазма нейтрофілів перинуклеарна, Ат (Сиров) [Титр]"
"33216-3","Тробоцити.агранулярні","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Тробоцити Агран Крв Якісн Мазок","Тробоцити агранулярні [Наявність] в Крові методом Світлової мікроскопії","Agran Platelets; Agranulated platelets; Blood; HEMATOLOGY/CELL COUNTS; LM; Micro; Micros; Microscopic; Ordinal; Platelet; Platelet adequacy; Platelet estimate; Platelt; Plt; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Thrb; Thrombocyte; Thrombocytes; WB; Whole blood","Тробоцити агранулярні СМ Якісно (Крв)"
"33256-9","Лейкоцити^^з поправкою на ядровмісні еритроцити","Чисельна Концентрація","МоментЧасу","Кров","Кількісно","Автоматизований підрахунок","Гематологія/Підрахунок клітин","Лейкоц попр на ядрвм еритр # Крв Авто","Лейкоцити [кількість/об'єм] з поправкою на ядровмісні еритроцити в Крові Автоматизований підрахунок","#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Discocytes; Elec; Elect; Electr; Erthrocyte; Erythrocyte; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; nRBC cor; Nuc; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; RBC; RBCS; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood","Лейкоцити з поправкою на ядровмісні Еритр Авто (Крв) [#/об'єм]"
"33910-1","Ревматоїдний фактор","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","","Серологія","РФ Сир-Якісн","Ревматоїдний фактор [Наявність] в сироватці","Fac; Fact; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; RF; Rheum; Rheumatology; Screen; Serology; Serum; SR; UniversalLabOrders","Ревматоїдний фактор Якісн (Сир)"
"70218-3","Тригліцериди","Молярна Концентрація","МоментЧасу","Кров","Кількісно","","Хімія","Тригліцериди Крв-МолКонц","Тригліцериди [Молі/об'єм] в крові","Blood; Cardio; Cardiology; Chemistry; Heart Disease; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration; Tg; Trig; Trigly; Triglycerides; Triglycrides; WB; Whole blood","Тригліцериди (Крв) [Молі/об'єм]"
"703-9","Базофільна зернистість","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Базоф Зерн Крв Якісн Мазок","Базофільна зернистість [Наявність] в Крові методом Світлової мікроскопії","Baso stipl; Blood; HEMATOLOGY/CELL COUNTS; LM; Micro; Micros; Microscopic; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Stip; Stipl; WB; Whole blood","Базофільна зернистість СМ Якісно (Крв)"
"735-1","Лімфоцити.атипові (реактивні)/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Лімфоц атипові/лейк ЧисФракц Крв Вручну","Лімфоцити атипові (варіантні)/100 лейкоцитів в Крові Ручний підрахунок","100WBC; Atypical lymphocytes; Blood; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Lymp; Lymph; Lympho; Lymphocyte; Lymphs; Lymphs%; Manl; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; Reactive lymphocytes; Variant lymphocytes; Variant Lymphs; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood","Лімфоцити атипові (варіантні) /100 лейкоцитів Ручний підрахунок (Крв)"
"737-7","Лімфоцити/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Лімфоцити/лейк ЧисФракц Крв Вручну","Лімфоцити/100 лейкоцитів в Крові Ручний підрахунок","100WBC; Blood; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Lymp; Lymph; Lympho; Lymphocyte; Lymphs; Lymphs%; Manl; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood","Лімфоцити/100 лейкоцитів Ручний підрахунок (Крв)"
"744-3","Моноцити/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Моноцити/лейк ЧисФракц Крв Вручну","Моноцити/100 лейкоцитів в Крові Ручний підрахунок","100WBC; Blood; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Manl; Mono; Monocyte; Monos; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood","Моноцити/100 лейкоцитів Ручний підрахунок (Крв)"
"748-4","Мієлоцити","Чисельна Концентрація","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Мієлоцити # Крв Вручну","Мієлоцити [кількість/об'єм] в Крові Ручний підрахунок","#; ABS; absolute; absolutes; Blood; Cnt; Count; Count/volume; CT; Hematology; HEMATOLOGY/CELL COUNTS; Heme; Manl; Myel; Myelo; Myelocyte; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood","Мієлоцити Ручний підрахунок (Крв) [#/об'єм]"
"751-8","Нейтрофіли","Чисельна Концентрація","МоментЧасу","Кров","Кількісно","Автоматизований підрахунок","Гематологія/Підрахунок клітин","Нейтрофіли # Крв Авто","Нейтрофіли [кількість/об'єм] в Крові Автоматизований підрахунок","#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Neut; Neutr; Neutrophil; Number concentration; Number Concentration (count/vol); PMN; PNM; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood","Нейтрофіли Авто (Крв) [#/об'єм]"
"763-3","Нейтрофіли. паличкоядерна форма","Чисельна Концентрація","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Нейтрофіли Палички # Крв Вручну","Паличкоядерні нейтрофіли [кількість/об'єм] в Крові Ручний підрахунок","#; ABS; absolute; absolutes; Bands; Blood; bnd; Cnt; Count; Count/volume; CT; HEMATOLOGY/CELL COUNTS; Manl; N-Band; Neut; Neutr; Neutrophil; Neuts Band; Number concentration; Number Concentration (count/vol); PMN; PNM; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood","Паличкоядерні нейтрофіли Ручний підрахунок (Крв) [#/об'єм]"
"34165-1","Гранулоцити.незрілі","Наявність або Поріг","МоментЧасу","Кров","Порядково","Автоматизований підрахунок","Гематологія/Підрахунок клітин","Гранулоцити.незрілі Крв Якісн Авто","Незрілі гранулоцити [Наяність] в Крові Автоматизований підрахунок","Auto; Automated detection; Blood; Elec; Elect; Electr; Gran; Grans; Granulocyte; Granulocytes; HEMATOLOGY/CELL COUNTS; Imm; Imm Granulocytes; Immat; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; WB; Whole blood","Незрілі гранулоцити Авто Якісно (Крв)"
"34928-2","Уробиліноген","Молярна Концентрація","МоментЧасу","Сеча","Кількісно","Тест-смужка","Аналіз Сечі","Уробіліноген Сеч Смуж-МолКонц","Уробіліноген [Молі/об'єм] в Сечі Тест-смужкою","Dip stick; Dipstick; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration; UA; UBG; UR; URINALYSIS; Urn; Urobili; Urobilngn","Уробіліноген Тест-смужка (Сеча) [Молі/об'єм]"
"35452-2","ВІЛ 1 gp40 Антитіла","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","Імуноблот","Мікробіологія","ВІЛ 1 gp40 Ат Сиров Якісн ІБ","ВІЛ 1 gp40 Антитіла [Наявність] в Сироватці методом Імуноблоту","ABS; Aby; AIDS; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Blt; HIV type 1; HIV type I; HIV1; HIV1 gp40; Human immunodeficiency virus; i; ID; IMMUNE BLOT; Immunobl; Immunoblot; Infectious Disease; InfectiousDisease; Microbiology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; RIBA; Screen; Serum; SR; WB; WBLOT; West blot; West blt; Western blot","ВІЛ 1 gp40 Антитіла ІБ Якісно (Сиров)"
"35663-4","Білок","Масова Концентрація","ХХХ","Сеча","Кількісно","","Аналіз Сечі","Білок ?Час Сеч-МасКонц","Білок [Маса/об'єм] у сечі, зібраній протягом невизначеного часу","?Tm; Kidney; Level; Mass concentration; Nephrology; PR; Prot; QNT; Quan; Quant; Quantitative; Renal; UA; UniversalLabOrders; UR; URINALYSIS; Urn","Білок Невизначений час (Сеча) [Маса/об'єм]"
"38473-5","17-Гідроксипрогестерон","Масова Концентрація","МоментЧасу","Суха пляма крові (фільтрувальний папір)","Кількісно","","Хімія","17ОНП СухПлям-МасКонц","17-гідроксипрогестерон [Маса/об'єм] в сухій плямі крові","17-alpha-hydroxyprogesterone; 17-Hydroxypregn-4-en-3,20-dione; 17-hydroxy-progest; 17-OH Progesterone; 17OHP; 17-OHP; 17-P; Blood; Chemistry; DBS; Dried blood spot; Endocrine; Endocrinology; Filter paper; FP; Genetics; Heredity; Heritable; Hydroxyproges; Hydroxyprogstron; Inherited; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood","17-гідроксипрогестерон в сухій плямі крові [Маса/об'єм]"
"38908-0","Пойкілоцитоз","Наявність або Поріг","МоментЧасу","Кров","Порядково","Автоматизований підрахунок","Гематологія/Підрахунок клітин","Пойкілоцитоз Крв Якісн Авто","Пойкілоцитоз [Наяність] в Крові Автоматизований підрахунок","Auto; Automated detection; Blood; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Ordinal; Poikilo; Poikilocyte; Poikilocytes; Point in time; PR; QL; Qual; Qualitative; Random; Screen; WB; Whole blood","Пойкілоцитоз Авто Якісно (Крв)"
"38996-5","Нейтрофіли","Наявність або Поріг","МоментЧасу","Сеча","Порядково","Мікроскопія. світлова","Аналіз Сечі","Нейтрофіли Сеча Якісн Мікро","Нейтрофіли [Наявність] в Сечі методом Світлової Мікроскопії","LM; Micro; Micros; Microscopic; Neut; Neutr; Neutrophil; Ordinal; PMN; PNM; Point in time; PR; QL; Qual; Qualitative; Random; Screen; UA; UR; URINALYSIS; Urn","Нейтрофіли СМ Якісно (Сеча)"
"40729-6","Вірус простого герпесу, Антитіла.IgM","Наявність або Поріг","МоментЧасу","Сироватка","Порядково","Імуноаналіз","Мікробіологія","ВПГ IgМ Сиров Якісн ІА","Вірус простого герпесу Антитіла IgМ [Наявність] в Сироватці методом Імуноаналізу","ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; EIA; ELFA; ELISA; Enzyme immunoassay; Herp splx; HSV; IAA; ID; Immune globulin M; Immunoglobulin M; Infectious Disease; InfectiousDisease; MEIA; Microbiology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serum; SR; SUDS; UniversalLabOrders","ВПГ IgМ ІА Якісн (Сироватка)"
"709-6","Бласти/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Бласти/лейк ЧисФракц Крв Вручну","Бласти/100 лейкоцитів в Крові Ручний підрахунок","100WBC; Blast; Blood; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Manl; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood","Бласти/100 лейкоцитів Ручний підрахунок (Крв)"
"714-6","Еозинофіли/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Еозинофіли/лейк ЧисФракц Крв Вручну","Еозинофіли/100 лейкоцитів в Крові Ручний підрахунок","100WBC; Blood; Eos; Eosin; Eosino; Eosinophil; Eosins; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Manl; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood","Еозинофіли/100 лейкоцитів Ручний підрахунок (Крв)"
"730-2","Лейкоцити інші/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Лейкоцити інші/лейк ЧисФракц Крв Вручну","Лейкоцити інші/100 лейкоцитів в Крові Ручний підрахунок","100WBC; Blood; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Manl; Number fraction; Othr; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBC Other; WBCs; White blood cell; White blood cells; Whole blood","Лейкоцити інші/100 лейкоцитів Ручний підрахунок (Крв)"
"741-9","Мікроцити","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Мікроцити Крв Якісн Мазок","Мікроцити [Наявність] в Крові методом Світлової мікроскопії","Blood; HEMATOLOGY/CELL COUNTS; LM; Micro; Microcyte; Microcytosis; Micros; Microscopic; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; WB; Whole blood","Мікроцити СМ Якісно (Крв)"
"742-7","Моноцити","Чисельна Концентрація","МоментЧасу","Кров","Кількісно","Автоматизований підрахунок","Гематологія/Підрахунок клітин","Моноцити # Крв Авто","Моноцити [кількість/об'єм] в Крові Автоматизований підрахунок","#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Mono; Monocyte; Monos; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood","Моноцити Авто (Крв) [#/об'єм]"
"743-5","Моноцити","Чисельна Концентрація","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Моноцити # Крв Вручну","Моноцити [кількість/об'єм] в Крові Ручний підрахунок","#; ABS; absolute; absolutes; Blood; Cnt; Count; Count/volume; CT; HEMATOLOGY/CELL COUNTS; Manl; Mono; Monocyte; Monos; Number concentration; Number Concentration (count/vol); Point in time; QNT; Quan; Quant; Quantitative; Random; WB; Whole blood","Моноцити Ручний підрахунок (Крв) [#/об'єм]"
"769-0","Нейтрофіли. сегментоядерні/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Нейтр Сегменти/лейк ЧисФракц Крв Вручну","Нейтрофіли сегментоядерні/100 лейкоцитів в Крові Ручний підрахунок","100WBC; Blood; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Manl; Neut; Neutr; Neutrophil; Neuts Seg; N-Seg; Number fraction; Percent; PMN; PNM; Point in time; QNT; Quan; Quant; Quantitative; Random; Seg; Segs; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood","Нейтрофіли сегментоядерні/100 лейкоцитів Ручний підрахунок (Крв)"
"774-0","Овалоцити","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Овалоцити Крв Якісн Мазок","Овалоцити [Наявність] в Крові методом Світлової мікроскопії","Blood; HEMATOLOGY/CELL COUNTS; LM; Micro; Micros; Microscopic; Ordinal; Ovalocyte; Ovalos; Point in time; PR; QL; Qual; Qualitative; Random; Screen; WB; Whole blood","Овалоцити СМ Якісно (Крв)"
"770-8","Нейтрофіли/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Автоматизований підрахунок","Гематологія/Підрахунок клітин","Нейтрофіли/лейк ЧисФракц Крв Авто","Нейтрофіли/100 лейкоцитів в Крові Автоматизований підрахунок","100WBC; Auto; Automated detection; Blood; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Leuc; Leuk; Leukocyte; Lkcs; Neut; Neutr; Neutrophil; Number fraction; Percent; PMN; PNM; Point in time; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood","Нейтрофіли/100 лейкоцитів Авто (Крв)"
"773-2","Еритроцити.ядровмісні/100 еритроцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Еритр ядр/100 Ер ЧисФракц Крв Вручну","Еритроцити.ядровмісні/100 еритроцитів в Крові Ручний підрахунок","100 RBC; Blood; Discocytes; Erthrocyte; Erythroblasts; Erythrocyte; HEMATOLOGY/CELL COUNTS; Manl; Normoblasts; nRBC; nRBCs; Nuc; Number fraction; Percent; Point in time; QNT; Quan; Quant; Quantitative; Random; RBC; RBCS; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells; WB; Whole blood","Ядровмісні еритроцити/100 Еритр Ручний підрахунок (Крв)"
"7790-9","Ехіноцити","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Ехіноцити Крв Якісн Мазок","Ехіноцити [Наявність] в Крові методом Світлової мікроскопії","Blood; Cell; Cellularity; Echinocyte; Echinocytes; Erythrocytes.crenated; HEMATOLOGY/CELL COUNTS; LM; Micro; Micros; Microscopic; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Sea urchin cells; WB; Whole blood","Ехіноцити СМ Якісно (Крв)"
"7792-5","Тільця Деле","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Тільця Деле Крв Якісн Мазок","Тільця Деле [Наявність] в Крові методом Світлової мікроскопії","Blood; bod; Bodies; HEMATOLOGY/CELL COUNTS; LM; Micro; Micros; Microscopic; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; WB; Whole blood","Тільця Деле СМ Якісно (Крв)"
"7796-6","Тромбоцитарний згусток","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Тромбоц згусток Крв Якісн Мазок","Тромбоцитарний згусток [Наявність] в Крові методом Світлової мікроскопії","Blood; HEMATOLOGY/CELL COUNTS; LM; Micro; Micros; Microscopic; Ordinal; Pl; Platelets; Platelt; Plt; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Thrombocyte; Thrombocytes; WB; Whole blood","Тромбоцитарний згусток СМ Якісно (Крв)"
"779-9","Пойкілоцитоз","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Пойкілоцитоз Крв Якісн Мазок","Пойкілоцитоз [Наявність] в Крові методом Світлової мікроскопії","Blood; HEMATOLOGY/CELL COUNTS; LM; Micro; Micros; Microscopic; Ordinal; Poikilo; Poikilocyte; Poikilocytes; Point in time; PR; QL; Qual; Qualitative; Random; Screen; WB; Whole blood","Пойкілоцитоз СМ Якісно (Крв)"
"785-6","Cередній вміст гемоглобіну в еритроциті","Ентитична Маса","МоментЧасу","Еритроцити","Кількісно","Автоматизований підрахунок","Гематологія/Підрахунок клітин","MCH Сер вміст гем еритр Кільк Авто","MCH - Cередній вміст гемоглобіну [Ентитична маса] Автоматизований підрахунок","Auto; Automated detection; Average; Avg; Discocyte; Elec; Elect; Electr; Entitic mass; Erc; Erythrocytes; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; MCH; Point in time; QNT; Quan; Quant; Quantitative; Random; RBC; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells","MCH Cеред вміст гемоглобіну Авто (Еритр) [Ентитична маса]"
"788-0","Ширина розподілу Еритроцитів","Співвідношення","МоментЧасу","Еритроцити","Кількісно","Автоматизований підрахунок","Гематологія/Підрахунок клітин","RDW Шир розп Еритр Авто-Співвід","Ширина розподілу еритроцитів [Співвідношення] Автоматизований підрахунок","Auto; Automated detection; Discocyte; Elec; Elect; Electr; Erc; Erythrocyte morphology index; Erythrocytes; HEMATOLOGY/CELL COUNTS; Point in time; QNT; Quan; Quant; Quantitative; Random; Ratios; RBC; RCMI; RDW; RDW-CV; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells; Rto","Ширина розподілу еритроцитів Авто (Еритр) [Співвідношення]"
"777-3","Тромбоцити","Чисельна Концентрація","МоментЧасу","Кров","Кількісно","Автоматизований підрахунок","Гематологія/Підрахунок клітин","Тромбоцити # Крв Авто","Тромбоцити [кількість/об'єм] в Крові Автоматизований підрахунок","#; ABS; absolute; absolutes; Auto; Automated detection; Blood; Cnt; Count; Count/volume; CT; Elec; Elect; Electr; HEMATOLOGY/CELL COUNTS; Number concentration; Number Concentration (count/vol); Platelet; Platelet count; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrb; Thrombocyte; Thrombocytes; UniversalLabOrders; WB; Whole blood","Тромбоцити Авто (Крв) [#/об'єм]"
"7797-4","Монетні стовпчики еритроцитів","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Монетні стовпч Ер Крв Якісн Мазок","Монетні стовпчики еритроцитів [Наявність] в Крові методом Світлової мікроскопії","Blood; HEMATOLOGY/CELL COUNTS; LM; Micro; Micros; Microscopic; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; WB; Whole blood","Монетні стовпчики еритроцитів СМ Якісно (Крв)"
"7798-2","Тіні Гумпрехта","Наявність або Поріг","МоментЧасу","Кров","Порядково","Мікроскопія. світлова","Гематологія/Підрахунок клітин","Тіні Гумпрехта Крв Якісн Мазок","Тіні Гумпрехта [Наявність] в Крові методом Світлової мікроскопії","Basket cells; Blood; Cell; Cellularity; HEMATOLOGY/CELL COUNTS; LM; Micro; Micros; Microscopic; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; WB; Whole blood","Тіні Гумпрехта СМ Якісно (Крв)"
"783-1","Промієлоцити/100 лейкоцитів","Чисельна Фракція","МоментЧасу","Кров","Кількісно","Ручний підрахунок","Гематологія/Підрахунок клітин","Промієлоцити/лейк ЧисФракц Крв Вручну","Промієлоцити/100 лейкоцитів в Крові Ручний підрахунок","100WBC; Blood; Hematology; HEMATOLOGY/CELL COUNTS; Heme; Leuc; Leuk; Leukocyte; Lkcs; Manl; Number fraction; Percent; Point in time; Pro myelos; Progranulocyte; Progranulocytes; Promyel; Promyelocyte; QNT; Quan; Quant; Quantitative; Random; WB; WBC; WBCs; White blood cell; White blood cells; Whole blood","Промієлоцити/100 лейкоцитів Ручний підрахунок (Крв)"
"786-4","Середня концентрація гемоглобіну в еритроцитах","Масова Концентрація","МоментЧасу","Еритроцити","Кількісно","Автоматизований підрахунок","Гематологія/Підрахунок клітин","MCHC Сер конц гем еритр Авто МасКонц","MCHC - Середня концентрація гемоглобіну в еритроцитах [Маса/об'єм] Автоматизований підрахунок","Auto; Automated detection; Average; Avg; Discocyte; Elec; Elect; Electr; Erc; Erythrocytes; Haemoglobin; Hb; HEMATOLOGY/CELL COUNTS; Hgb; Level; Mass concentration; MCH; MCHC; Point in time; QNT; Quan; Quant; Quantitative; Random; RBC; Red blood cell; Red blood cells; Red blood corpuscle; Red blood corpusles; Red cell; Red cells","MCHC Серед конц гемоглобіну (Еритр) [Маса/об'єм]"
"7900-4","Helicobacter pylori, Антитіла","Довільна Концентрація","МоментЧасу","Сироватка","Кількісно","","Мікробіологія","H pylori Ат Сир-ДовКонц","Helicobacter pylori, Антитіла [Одиниці/об'єм] в сироватці","ABS; Aby; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; C pylori; Campylobacter pylori; Gastro; Gastroenterology; GI; H pyl; H pylori; Microbiology; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR; UniversalLabOrders","H. pylori Ат Кільк (Сиров)"
