"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"ADD","104261-3","Eosinophil derived neurotoxin","MCnc","Pt","Ser","Qn","IA","HEM/BC"
"ADD","104262-1","Diagnostic peripheral vascular disease study","Type","Pt","Heart","Nom","","CARD.PROC"
"ADD","104263-9","Galactosylceramidase","CCnc","Pt","Ser","Qn","LC/MS/MS","CHEM"
"ADD","104264-7","Galactosylceramidase","CCnc","Pt","CSF","Qn","LC/MS/MS","CHEM"
"ADD","104265-4","Ethanol cutoff","VFr","Pt","Exhl gas","SemiQn","","DRUG/TOX"
"ADD","104266-2","Immunoglobulins and heavy-light chain panel","-","Pt","Ser/Plas","-","","PANEL.CHEM"
"ADD","104267-0","Protein.glycosylated","PrThr","Pt","Ser/Plas","Ord","","CHEM"
"ADD","104268-8","UBA1 gene mutation","Find","Pt","XXX","Doc","Molgen","MOLPATH.MUT"
"ADD","104269-6","V gene rearrangement","Prid","Pt","XXX","Nom","Molgen","MOLPATH.REARRANGE"
"ADD","104270-4","J gene rearrangement","Prid","Pt","XXX","Nom","Molgen","MOLPATH.REARRANGE"
"ADD","104271-2","Primer set","ID","Pt","XXX","Nom","Molgen","MOLPATH"
"ADD","104272-0","IgH & IgK gene rearrangement status","Prid","Pt","XXX","Nom","Molgen","MOLPATH.REARRANGE"
"ADD","104273-8","Cells.clonal rearrangements/Cells counted","NFr","Pt","XXX","Qn","Molgen","MOLPATH.REARRANGE"
"ADD","104274-6","Clonal sequences.abnormal","Seq","Pt","XXX","Nom","Molgen","MOLPATH"
"ADD","104275-3","Hematopoietic progenitor cells/cells.total","NFr","Pt","Bld","Qn","Automated count","HEM/BC"
"ADD","104276-1","ALK gene mutations tested for","Prid","Pt","Bld/Tiss","Nom","Molgen","MOLPATH.MUT"
"ADD","104277-9","MET gene mutations tested for","Prid","Pt","Bld/Tiss","Nom","Molgen","MOLPATH.MUT"
"ADD","104278-7","BRAF gene mutations tested for","Prid","Pt","Bld/Tiss","Nom","Molgen","MOLPATH.MUT"
"ADD","104279-5","ERBB2 gene mutations tested for","Prid","Pt","Bld/Tiss","Nom","Molgen","MOLPATH.MUT"
"ADD","104280-3","ABCG2 gene.p.Q141K","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.MUT"
"ADD","104281-1","ABCB1 gene.c.1236C>T","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.MUT"
"ADD","104282-9","ABCB1 gene.c.2677G>T","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.MUT"
"ADD","104283-7","DPYD gene.c.2846A>T","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.MUT"
"ADD","104284-5","DPYD gene.c.1679T>G","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.MUT"
"ADD","104285-2","UGT1A1 gene.p.G71R","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.MUT"
"ADD","104286-0","UGT1A1 gene.p.P229Q","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.MUT"
"ADD","104287-8","SLCO1B1 gene.c.521T>C","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.MUT"
"ADD","104288-6","HLA-B gene.g.31431780T>G","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.MUT"
"ADD","104289-4","Chromosome 5 & 9 & 15 aneuploidy","Find","Pt","Bone mar","Doc","FISH","MOLPATH"
"ADD","104290-2","ROS1 gene mutations tested for","Prid","Pt","Bld/Tiss","Nom","Molgen","MOLPATH.MUT"
"ADD","104291-0","KIT gene mutations tested for","Prid","Pt","Bld/Tiss","Nom","Molgen","MOLPATH"
"ADD","104292-8","PDGFRA gene mutations tested for","Prid","Pt","Bld/Tiss","Nom","Molgen","MOLPATH"
"ADD","104293-6","PDGFRA gene targeted mutation analysis","Prid","Pt","Bld/Tiss","Nom","Molgen","MOLPATH.MUT"
"ADD","104294-4","CDH1 gene rearrangements","Imp","Pt","Bld/Tiss","Nar","Molgen","MOLPATH.REARRANGE"
"ADD","104295-1","ESR1 gene mutation","Prid","Pt","Bld/Tiss","Nom","Molgen","MOLPATH"
"ADD","104296-9","DPYD gene.c.1905+1G>A","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH"
"ADD","104297-7","CYP3A4 gene.c.6C>T","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.PHARMG"
"ADD","104298-5","CYP3A4 gene.c.IVS10+12G>A","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.PHARMG"
"ADD","104299-3","UGT1A9 gene.1b-118(dT)9>10","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.TRNLOC"
"ADD","104300-9","UGT1A9 gene.p.M33T","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH"
"ADD","104301-7","UGT1A9 gene.c.-2152C>T","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH"
"ADD","104302-5","UGT1A9 gene.c.-275T>A","PrThr","Pt","Bld/Tiss","Ord","Molgen","MOLPATH.MUT"
"ADD","104303-3","N-Desmethyl imatinib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104304-1","Regorafenib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104305-8","Regorafenib N-oxide","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104306-6","Sorafenib N-Oxide","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104307-4","Letrozole","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104308-2","Palbociclib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104309-0","Ribociclib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104310-8","Abemaciclib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104311-6","Olaparib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104312-4","Rucaparib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104313-2","Niraparib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104314-0","Lenvatinib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104315-7","Sunitinib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104316-5","N-Desethyl Sunitinib","MCnc","Pt","Ser/Plas","Qn","","DRUG/TOX"
"ADD","104317-3","Common myeloid progenitor cell","NCnc","Pt","Bld","Qn","VC","CELLMARK"
"ADD","104318-1","Common myeloid progenitor cell","NCnt","Pt","Bld","Qn","","CELLMARK"
"ADD","104319-9","Burst forming unit erythroid","NCnc","Pt","Bld","Qn","VC","CELLMARK"
"ADD","104320-7","Burst forming unit erythroid","NCnt","Pt","Bld","Qn","","DRUG/TOX"
"ADD","104321-5","CXCR4 gene targeted mutation analysis","Prid","Pt","Bld/Tiss","Nom","Molgen","MOLPATH"
"ADD","104322-3","Lymphocytes.lambda/100 lymphocytes","NFr","Pt","Bone mar","Qn","","CELLMARK"
"ADD","104323-1","IDH1 & IDH2 gene full mutation analysis","Find","Pt","Bld/Tiss","Doc","Molgen","MOLPATH"
"ADD","104324-9","Acinetobacter sp identified","Type","Pt","XXX","Nom","Sequencing","MICRO"
"ADD","104326-4","Adenovirus sp identified","Type","Pt","XXX","Nom","Sequencing","MICRO"
"ADD","104327-2","Bacillus anthracis Ab^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104328-0","Bacillus anthracis Ab^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104330-6","Bacillus anthracis protective antigen Ab","PrThr","Pt","Ser","Ord","IA","MICRO"
"ADD","104331-4","Bordetella pertussis Ab.IgA^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104332-2","Bordetella pertussis Ab.IgA^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104334-8","Bordetella pertussis.pertussis toxin Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104335-5","Bordetella pertussis.pertussis toxin Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104337-1","Borna disease virus RNA","PrThr","Pt","Brain tissue","Ord","Probe.amp.tar","MICRO"
"ADD","104338-9","Borna disease virus RNA","PrThr","Pt","Brain tissue","Ord","Probe","MICRO"
"ADD","104339-7","Borna disease virus RNA","PrThr","Pt","Brain tissue","Ord","Sequencing","MICRO"
"ADD","104340-5","Borna disease virus RNA","PrThr","Pt","CSF","Ord","Probe.amp.tar","MICRO"
"ADD","104341-3","Borna disease virus","PrThr","Pt","XXX","Ord","","MICRO"
"ADD","104342-1","Borna disease virus RNA","PrThr","Pt","XXX","Ord","Probe.amp.tar","MICRO"
"ADD","104343-9","Borna disease virus","PrThr","Pt","XXX","Ord","Organism specific culture","MICRO"
"ADD","104344-7","Borna disease virus RNA","PrThr","Pt","XXX","Ord","Sequencing","MICRO"
"ADD","104345-4","Borna disease virus Ag","PrThr","Pt","Brain tissue","Ord","Immune stain","MICRO"
"ADD","104346-2","Borna disease virus Ag","PrThr","Pt","XXX","Ord","Immune stain","MICRO"
"ADD","104347-0","Borrelia recurrentis","PrThr","Pt","CSF","Ord","Organism specific culture","MICRO"
"ADD","104348-8","Borrelia recurrentis","PrThr","Pt","Bld","Ord","Microscopy","MICRO"
"ADD","104349-6","Borrelia recurrentis","PrThr","Pt","Bld","Ord","Organism specific culture","MICRO"
"ADD","104350-4","Borrelia recurrentis","PrThr","Pt","XXX","Ord","Microscopy","MICRO"
"ADD","104351-2","Borrelia recurrentis","PrThr","Pt","XXX","Ord","Organism specific culture","MICRO"
"ADD","104352-0","Borrelia recurrentis DNA","PrThr","Pt","Bld","Ord","Probe.amp.tar","MICRO"
"ADD","104353-8","Borrelia recurrentis DNA","PrThr","Pt","Bld","Ord","Sequencing","MICRO"
"ADD","104354-6","Borrelia recurrentis DNA","PrThr","Pt","CSF","Ord","Probe.amp.tar","MICRO"
"ADD","104355-3","Borrelia recurrentis DNA","PrThr","Pt","CSF","Ord","Sequencing","MICRO"
"ADD","104356-1","Borrelia recurrentis DNA","PrThr","Pt","XXX","Ord","Probe.amp.tar","MICRO"
"ADD","104357-9","Borrelia recurrentis DNA","PrThr","Pt","XXX","Ord","Sequencing","MICRO"
"ADD","104358-7","Spirochete","Prid","Pt","XXX","Nom","Microscopy","MICRO"
"ADD","104359-5","Brucella melitensis DNA","PrThr","Pt","XXX","Ord","Non-probe.amp.tar","MICRO"
"ADD","104360-3","Brucella sp Ab^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104361-1","Brucella sp Ab^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104362-9","Brucella sp DNA","ID","Pt","XXX","Nom","Non-probe.amp.tar","MICRO"
"ADD","104364-5","Chikungunya virus Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104366-0","Chlamydophila psittaci Ab^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104368-6","Chlamydophila psittaci Ab^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104369-4","Clostridium baratii","PrThr","Pt","XXX","Ord","","MICRO"
"ADD","104370-2","Clostridium butyricum","PrThr","Pt","XXX","Ord","","MICRO"
"ADD","104371-0","Corynebacterium pseudotuberculosis","PrThr","Pt","XXX","Ord","Organism specific culture","MICRO"
"ADD","104372-8","Corynebacterium pseudotuberculosis","PrThr","Pt","Respiratory system specimen.upper","Ord","Organism specific culture","MICRO"
"ADD","104373-6","Corynebacterium ulcerans","PrThr","Pt","XXX","Ord","Organism specific culture","MICRO"
"ADD","104374-4","Corynebacterium ulcerans","PrThr","Pt","Respiratory system specimen.upper","Ord","Organism specific culture","MICRO"
"ADD","104375-1","Corynebacterium ulcerans DNA","PrThr","Pt","XXX","Ord","Probe.amp.tar","MICRO"
"ADD","104376-9","Diphtheria toxin DNA","PrThr","Pt","XXX","Ord","Probe.amp.tar","MICRO"
"ADD","104377-7","Coxiella burnetii Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104378-5","Coxiella burnetii Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104380-1","Coxiella burnetii Ab.IgM^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104381-9","Coxiella burnetii Ab.IgM^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104383-5","Dengue virus Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104384-3","Dengue virus Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104386-8","Dengue virus Ab.IgM^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104387-6","Dengue virus Ab.IgM^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104389-2","Ebola virus Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104390-0","Ebola virus Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104391-8","Echinococcus sp","Prid","Pt","XXX","Doc","","MICRO"
"ADD","104393-4","European tick borne encephalitis virus Ab.IgA index","ACnc","Pt","Ser+CSF","Qn","","MICRO"
"ADD","104394-2","European tick borne encephalitis virus Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104395-9","European tick borne encephalitis virus Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104397-5","European tick borne encephalitis virus Ab.IgM","Titr","Pt","CSF","SemiQn","IA","MICRO"
"ADD","104398-3","European tick borne encephalitis virus Ab.IgM","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104399-1","European tick borne encephalitis virus RNA","PrThr","Pt","CSF","Ord","Probe.amp.tar","MICRO"
"ADD","104400-7","European tick borne encephalitis virus RNA","PrThr","Pt","Tissue.postmortem","Ord","Probe.amp.tar","MICRO"
"ADD","104401-5","Francisella tularensis Ab^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104402-3","Francisella tularensis Ab^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104404-9","Giardia lamblia cysts","PrThr","Pt","Stool","Ord","Microscopy","MICRO"
"ADD","104405-6","Giardia lamblia trophozoites","PrThr","Pt","Stool","Ord","Microscopy","MICRO"
"ADD","104406-4","Hantavirus Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104407-2","Hantavirus Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104409-8","Hepatitis A virus Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104410-6","Hepatitis A virus Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104412-2","Hepatitis A virus Ab.IgM","Titr","Pt","Ser","SemiQn","","MICRO"
"ADD","104413-0","Hepatitis E virus Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104414-8","Hepatitis E virus Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104416-3","Lassa virus Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104417-1","Lassa virus Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104419-7","Legionella sp Ab^1st specimen","Titr","Pt","Ser","Ord","IA","MICRO"
"ADD","104421-3","Legionella sp Ag","ID","Pt","Urine","Nom","IA","MICRO"
"ADD","104422-1","Leptospira sp Ab^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104424-7","Leptospira sp Ab.IgM^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104425-4","Leptospira sp Ab.IgM^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104427-0","Measles virus genotype","ID","Pt","XXX","Nom","Sequencing","MICRO"
"ADD","104428-8","Measles virus Ab.IgG avidity","Ratio","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104429-6","Measles virus Ab.IgM","Ratio","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104430-4","Middle East respiratory syndrome coronavirus","PrThr","Pt","XXX","Ord","Neut","MICRO"
"ADD","104431-2","Mumps virus Ab.IgM","ACnc","Pt","Ser+CSF","SemiQn","","MICRO"
"ADD","104432-0","Mycobacterium leprae anti-PGL-1 Ab","Titr","Pt","Ser","SemiQn","","MICRO"
"ADD","104433-8","Mycobacterium leprae DNA","PrThr","Pt","XXX","Ord","Probe.amp.tar","MICRO"
"ADD","104434-6","Norovirus Ag","PrThr","Pt","XXX","Ord","","MICRO"
"ADD","104435-3","Norovirus genogroup II Ag","PrThr","Pt","Stool","Ord","","MICRO"
"ADD","104436-1","Polio virus 1 Ab^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104437-9","Polio virus 1 Ab^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104439-5","Polio virus 3 Ab^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104440-3","Polio virus 3 Ab^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104443-7","Rickettsia prowazekii Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104444-5","Rickettsia prowazekii Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104446-0","Rubella virus Ab.IgM index","ACnc","Pt","Ser+CSF","Qn","","MICRO"
"ADD","104447-8","Salmonella paratyphi DNA","PrThr","Pt","Isolate","Ord","Probe.amp.tar","MICRO"
"ADD","104448-6","Salmonella paratyphi","ID","Pt","Isolate","Nom","Aggl","MICRO"
"ADD","104449-4","Salmonella paratyphi DNA","PrThr","Pt","Bld","Ord","Probe.amp.tar","MICRO"
"ADD","104450-2","Salmonella typhi DNA","PrThr","Pt","Isolate","Ord","Probe.amp.tar","MICRO"
"ADD","104451-0","SARS coronavirus 2 RNA","PrThr","Pt","Respiratory System Specimen","Ord","","MICRO"
"ADD","104452-8","Toxoplasma gondii Ab.IgG","PrThr","Pt","Ser","Ord","IB","MICRO"
"ADD","104453-6","Trichinella spiralis Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104454-4","Trichinella spiralis Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104456-9","Varicella zoster virus Ab.IgA index","ACnc","Pt","Ser+CSF","Qn","","MICRO"
"ADD","104457-7","Varicella zoster virus Ab.IgA","PrThr","Pt","CSF","Ord","IA","MICRO"
"ADD","104459-3","Varicella zoster virus Ab.IgG","PrThr","Pt","CSF","Ord","IA","MICRO"
"ADD","104461-9","Yellow fever virus Ab.IgG","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104463-5","Yellow fever virus Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104464-3","Yersinia enterocolitica biotype","PrThr","Pt","Stool","Ord","","MICRO"
"ADD","104465-0","Yersinia enterocolitica O:3 Ab","PrThr","Pt","Stool","Ord","","MICRO"
"ADD","104466-8","Yersinia enterocolitica O:5 Ab","PrThr","Pt","Stool","Ord","","MICRO"
"ADD","104467-6","Yersinia enterocolitica O:8 Ab","PrThr","Pt","Stool","Ord","","MICRO"
"ADD","104468-4","Yersinia enterocolitica O:9 Ab","PrThr","Pt","Stool","Ord","","MICRO"
"ADD","104469-2","Yersinia pestis Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104470-0","Yersinia pestis Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104472-6","Yersinia pseudotuberculosis 1 Ab","PrThr","Pt","Stool","Ord","","MICRO"
"ADD","104473-4","Yersinia pseudotuberculosis 2 Ab","PrThr","Pt","Stool","Ord","","MICRO"
"ADD","104474-2","Yersinia pseudotuberculosis 3 Ab","PrThr","Pt","Stool","Ord","","MICRO"
"ADD","104475-9","Zika virus Ab.IgG^1st specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104476-7","Zika virus Ab.IgG^2nd specimen","Titr","Pt","Ser","SemiQn","IA","MICRO"
"ADD","104478-3","Treponema pallidum index","RelRto","Pt","Ser+CSF","Qn","","MICRO"
"BEFORE","10966-0","Glucose^2.5H post 75 g glucose PO","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","10966-0","Glucose^2.5H post 75 g glucose PO","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","10967-8","Glucose^3.5H post 75 g glucose PO","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","10967-8","Glucose^3.5H post 75 g glucose PO","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","10968-6","Glucose^4.5H post 75 g glucose PO","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","10968-6","Glucose^4.5H post 75 g glucose PO","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","20621-9","Albumin/Creatinine","PrThr","Pt","Urine","SemiQn","Test strip","CHEM"
"CHANGED","20621-9","Albumin/Creatinine","PrThr","Pt","Urine","Ord","Test strip","CHEM"
"BEFORE","2514-8","Ketones","PrThr","Pt","Urine","SemiQn","Test strip","CHEM"
"CHANGED","2514-8","Ketones","PrThr","Pt","Urine","Ord","Test strip","CHEM"
"BEFORE","26537-1","Glucose^2.5H post dose glucose","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26537-1","Glucose^2.5H post dose glucose","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","26538-9","Glucose^3.5H post dose glucose","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26538-9","Glucose^3.5H post dose glucose","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","26546-2","Glucose^1H post dose glucose","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26546-2","Glucose^1H post dose glucose","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","26547-0","Glucose^2H post dose glucose","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26547-0","Glucose^2H post dose glucose","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","26548-8","Glucose^30M post dose glucose","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26548-8","Glucose^30M post dose glucose","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","26549-6","Glucose^3H post dose glucose","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26549-6","Glucose^3H post dose glucose","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","26550-4","Glucose^4H post dose glucose","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26550-4","Glucose^4H post dose glucose","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","26551-2","Glucose^5H post dose glucose","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26551-2","Glucose^5H post dose glucose","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","26552-0","Glucose^6H post dose glucose","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26552-0","Glucose^6H post dose glucose","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","26553-8","Glucose^1.5H post dose glucose","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26553-8","Glucose^1.5H post dose glucose","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","26884-7","Ketones^3H post XXX challenge","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","26884-7","Ketones^3H post XXX challenge","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","27028-0","Ketones^2H post XXX challenge","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","27028-0","Ketones^2H post XXX challenge","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","27040-5","Ketones^1H post XXX challenge","PrThr","Pt","Urine","SemiQn","Test strip","CHAL"
"CHANGED","27040-5","Ketones^1H post XXX challenge","PrThr","Pt","Urine","Ord","Test strip","CHAL"
"BEFORE","45613-7","Direct care staff believe resident is capable of increased independence in at least some ADLs","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"CHANGED","45613-7","Direct care staff believe resident is capable of increased independence in at least some ADLs","Find","RptPeriod","^Patient","Ord","CMS Assessment","SURVEY.CMS"
"BEFORE","45956-0","Reason pneumococcal vaccine not received","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","45956-0","Reason pneumococcal vaccine not received","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","46466-9","Therapeutic substance administered at home","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","46466-9","Therapeutic substance administered at home","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","46473-5","Cognitive, behavioral, and psychiatric symptoms demonstrated at least one time per W","Find","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","46473-5","Cognitive, behavioral, and psychiatric symptoms demonstrated at least one time per W","Find","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","46494-1","State location of agency branch","Loc","Pt","Agency","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","46494-1","State location of agency branch","Loc","RptPeriod","Agency","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","46495-8","Branch number","ID","Pt","Agency","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","46495-8","Branch number","ID","RptPeriod","Agency","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","46496-6","Agency patient number","ID","Pt","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","46496-6","Agency patient number","ID","RptPeriod","^Patient","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","46497-4","Start of care date","Date","Pt","^Patient","Qn","CMS Assessment","SURVEY.CMS"
"CHANGED","46497-4","Start of care date","Date","RptPeriod","^Patient","Qn","CMS Assessment","SURVEY.CMS"
"BEFORE","46498-2","Resumption of care date","Date","Pt","^Patient","Qn","CMS Assessment","SURVEY.CMS"
"CHANGED","46498-2","Resumption of care date","Date","RptPeriod","^Patient","Qn","CMS Assessment","SURVEY.CMS"
"BEFORE","46500-5","Discipline of person completing assessment","Type","Pt","Provider","Nom","CMS Assessment","SURVEY.CMS"
"CHANGED","46500-5","Discipline of person completing assessment","Type","RptPeriod","Provider","Nom","CMS Assessment","SURVEY.CMS"
"BEFORE","46501-3","Date assessment information completed","Date","Pt","^Patient","Qn","CMS Assessment","SURVEY.CMS"
"CHANGED","46501-3","Date assessment information completed","Date","RptPeriod","^Patient","Qn","CMS Assessment","SURVEY.CMS"
"BEFORE","46534-4","Skin lesion or open wound","Find","Pt","^Patient","Ord","CMS Assessment","SURVEY.CMS"
